year,month,Consumer Sentiment Value
1995,1,101.1104511
1995,2,100.9761065
1995,3,100.7525665
1995,4,100.6556656
1995,5,100.6428705
1995,6,100.7712536
1995,7,100.889881
1995,8,100.8555701
1995,9,100.6160001
1995,10,100.4576284
1995,11,100.3789735
1995,12,100.4032573
1996,1,100.4197211
1996,2,100.4916163
1996,3,100.6380025
1996,4,100.6669167
1996,5,100.6460678
1996,6,100.7552532
1996,7,100.9155988
1996,8,101.0363815
1996,9,101.127623
1996,10,101.2505091
1996,11,101.3549464
1996,12,101.3702808
1997,1,101.4212678
1997,2,101.5397982
1997,3,101.6732462
1997,4,101.8388784
1997,5,102.0260063
1997,6,102.1964918
1997,7,102.3112233
1997,8,102.3139011
1997,9,102.3248455
1997,10,102.3179124
1997,11,102.2994196
1997,12,102.2676118
1998,1,102.4210252
1998,2,102.5850808
1998,3,102.5926835
1998,4,102.5711099
1998,5,102.4715952
1998,6,102.3519792
1998,7,102.2151487
1998,8,102.0218506
1998,9,101.7800555
1998,10,101.6433193
1998,11,101.7372367
1998,12,101.8808337
1999,1,102.1215983
1999,2,102.3308109
1999,3,102.3662551
1999,4,102.3614169
1999,5,102.4052334
1999,6,102.4163954
1999,7,102.3606033
1999,8,102.2987392
1999,9,102.2883898
1999,10,102.2677056
1999,11,102.386158
1999,12,102.5505459
2000,1,102.7812211
2000,2,102.834095
2000,3,102.7531815
2000,4,102.7346543
2000,5,102.7093497
2000,6,102.6104985
2000,7,102.5770355
2000,8,102.5421717
2000,9,102.4923298
2000,10,102.3833384
2000,11,102.1309387
2000,12,101.6011076
2001,1,101.0760612
2001,2,100.6923286
2001,3,100.5267216
2001,4,100.4935227
2001,5,100.6168946
2001,6,100.6962045
2001,7,100.6098613
2001,8,100.3072078
2001,9,99.87112967
2001,10,99.71390661
2001,11,99.86219793
2001,12,100.221068
2002,1,100.5680979
2002,2,100.7759959
2002,3,100.9639776
2002,4,101.0169297
2002,5,100.9907739
2002,6,100.7391086
2002,7,100.4021744
2002,8,100.1245075
2002,9,99.88159601
2002,10,99.6982117
2002,11,99.7133179
2002,12,99.71077222
2003,1,99.53143001
2003,2,99.37236344
2003,3,99.4559255
2003,4,99.89214322
2003,5,100.3222161
2003,6,100.4791209
2003,7,100.4814218
2003,8,100.3915591
2003,9,100.3559514
2003,10,100.5049876
2003,11,100.7987637
2003,12,101.1035181
2004,1,101.3844001
2004,2,101.2701788
2004,3,101.1014582
2004,4,100.9294065
2004,5,100.8506138
2004,6,100.9892727
2004,7,101.1012937
2004,8,101.0764609
2004,9,100.9569469
2004,10,100.8672106
2004,11,100.9317731
2004,12,101.0682805
2005,1,101.0534782
2005,2,100.896981
2005,3,100.6662048
2005,4,100.4767269
2005,5,100.5450578
2005,6,100.7966396
2005,7,100.7025795
2005,8,100.1079593
2005,9,99.38522943
2005,10,99.15067686
2005,11,99.53938843
2005,12,100.1193963
2006,1,100.3811197
2006,2,100.3321832
2006,3,100.200093
2006,4,99.94716088
2006,5,99.66366732
2006,6,99.64278948
2006,7,99.67913916
2006,8,99.77792292
2006,9,100.0948585
2006,10,100.5169837
2006,11,100.7491969
2006,12,100.8652202
2007,1,100.8973824
2007,2,100.6731277
2007,3,100.3999342
2007,4,100.2250205
2007,5,100.1643978
2007,6,100.1235134
2007,7,100.1002771
2007,8,99.86993703
2007,9,99.61352991
2007,10,99.31753559
2007,11,99.03028419
2007,12,98.86127708
2008,1,98.6988254
2008,2,98.30785553
2008,3,97.83650196
2008,4,97.30519003
2008,5,96.92371942
2008,6,96.8037576
2008,7,97.00803622
2008,8,97.26683718
2008,9,97.34332688
2008,10,96.98836005
2008,11,96.73027633
2008,12,96.72276634
2009,1,96.73001596
2009,2,96.70382916
2009,3,96.90691466
2009,4,97.35759295
2009,5,97.74538011
2009,6,97.90593045
2009,7,97.86045898
2009,8,97.90439666
2009,9,98.08324906
2009,10,98.11305785
2009,11,98.12716929
2009,12,98.30228435
2010,1,98.4646054
2010,2,98.51993474
2010,3,98.51682535
2010,4,98.49631608
2010,5,98.49504101
2010,6,98.39960166
2010,7,98.11397913
2010,8,97.93977992
2010,9,97.88876975
2010,10,97.98760911
2010,11,98.24579489
2010,12,98.49748631
2011,1,98.60612961
2011,2,98.55690772
2011,3,98.31249619
2011,4,98.25389387
2011,5,98.23814102
2011,6,97.9298611
2011,7,97.3510257
2011,8,96.85696028
2011,9,96.7895587
2011,10,97.02199381
2011,11,97.46519569
2011,12,98.01342048
2012,1,98.48079046
2012,2,98.74135146
2012,3,98.86691649
2012,4,98.90210564
2012,5,98.84558336
2012,6,98.63860323
2012,7,98.56567136
2012,8,98.73764348
2012,9,99.05785441
2012,10,99.2874846
2012,11,99.20002665
2012,12,98.86193326
2013,1,98.7319421
2013,2,98.83620966
2013,3,99.00510476
2013,4,99.21988456
2013,5,99.5624688
2013,6,99.73958739
2013,7,99.70141794
2013,8,99.41699936
2013,9,99.03107072
2013,10,98.79248174
2013,11,98.8942425
2013,12,99.20183416
2014,1,99.37692003
2014,2,99.44790702
2014,3,99.48058965
2014,4,99.55463077
2014,5,99.54100798
2014,6,99.51451685
2014,7,99.50632111
2014,8,99.60164545
2014,9,99.805568
2014,10,100.0900992
2014,11,100.4394648
2014,12,100.8385145
2015,1,101.1488277
2015,2,101.2792766
2015,3,100.9513414
2015,4,
2015,5,
2015,6,
2015,7,
2015,8,
2015,9,
2015,10,
2015,11,
2015,12,
